State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000,Total % Positive,% Positive Last 30 Days,% Positive Last 7 Days,# Tests per 100K,Total # Tests,# Tests per 100K Last 7 Days,Total # Tests Last 7 Days,# Tests per 100K Last 30 Days,Total # Tests Last 30 Days,New Cases,New Deaths
Alaska,68951,0,0,317,9425,374,N/A,N/A,4,51,43.3,0.6,3-4.9%,< 3%,3-4.9%,350451.99,2563714,698.8,5112,7712.44,56420,0,0
Alabama,556610,427862,128748,3702,11352,11426,9111,2315,41,233,75.5,0.8,10-14.9%,5-7.9%,8-9.9%,97507.13,4780955,486.87,23872,2133.16,104593,711,16
Arkansas,358949,0,0,6854,11894,5970,N/A,N/A,44,197,227.1,1.5,8-9.9%,8-9.9%,10-14.9%,95786.54,2890650,829.25,25025,2598.25,78410,1476,15
American Samoa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,901906,832424,69482,3996,12391,18055,16079,1976,56,248,54.9,0.8,10-14.9%,5-7.9%,8-9.9%,114913.34,8364217,880.84,64114,3847.15,280023,345,20
California,3736999,0,0,13789,9458,63478,N/A,N/A,27,160,34.9,0.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3256,6
Colorado,563642,523643,39999,2284,9788,6861,6071,790,44,119,39.7,0.8,5-7.9%,< 3%,3-4.9%,146350.9,8427962,1279.01,73655,5573.48,320962,400,8
Connecticut,350245,320346,29899,594,9824,8279,6810,1469,1,232,16.7,0,5-7.9%,< 3%,< 3%,269817.75,9619777,1455,51875,7141.05,254599,206,0
District of Columbia,49536,0,0,119,7019,1144,N/A,N/A,2,162,16.9,0.3,3-4.9%,< 3%,< 3%,296175.98,2090259,2447.19,17271,12187.62,86014,10,0
Delaware,110112,102445,7667,212,11308,1695,1550,145,0,174,21.8,0,5-7.9%,< 3%,< 3%,225220.59,2193117,1189.51,11583,5966.23,58097,19,0
Florida,2383068,0,0,36249,11096,38282,N/A,N/A,249,178,168.8,1.2,8-9.9%,5-7.9%,8-9.9%,147805.74,31745329,1433.39,307860,6140.37,1318813,6425,71
Federated States of Micronesia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,1142268,908348,233920,5375,10758,21525,18592,2933,68,202,50.6,0.6,10-14.9%,< 3%,3-4.9%,83393.56,8854247,621.26,65962,2771.6,294272,1109,26
Guam,8471,0,0,63,5110,142,N/A,N/A,2,85,38,1.2,5-7.9%,5-7.9%,10-14.9%,70754.06,117289,355.31,589,1848.95,3065,4,0
Hawaii,37134,0,0,454,2623,518,N/A,N/A,3,36,32.1,0.2,< 3%,< 3%,3-4.9%,122687.57,1737099,1516.95,21478,6650.81,94167,53,0
Iowa,374948,0,0,608,11884,6149,N/A,N/A,1,194,19.3,0,10-14.9%,3-4.9%,3-4.9%,116434.72,3673597,580.91,18328,2675.22,84405,0,0
Idaho,196310,157111,39199,881,10985,2165,1885,280,6,121,49.3,0.3,10-14.9%,5-7.9%,5-7.9%,94525.94,1689240,848.15,15157,3463.39,61893,182,0
Illinois,1397667,1397667,0,3894,11030,25793,23336,2457,66,203,30.7,0.5,5-7.9%,< 3%,< 3%,171178.79,21691470,1319.23,167170,6605.07,836983,578,12
Indiana,758479,0,0,2779,11266,13933,13506,427,43,206,41.3,0.6,8-9.9%,3-4.9%,3-4.9%,132379.73,8912093,512.74,34519,2718.41,183009,575,10
Kansas,321109,258644,62465,1742,11022,5188,N/A,N/A,25,178,59.8,0.9,8-9.9%,5-7.9%,8-9.9%,109074.48,3177682,676.17,19699,2766.4,80594,0,0
Kentucky,468044,351639,116405,1944,10476,7271,6516,755,21,162,43.5,0.5,10-14.9%,3-4.9%,3-4.9%,106109.6,4740630,870.52,38892,3612.87,161411,432,6
Louisiana,490904,0,0,6327,10560,10798,9764,1034,35,232,136.1,0.8,8-9.9%,5-7.9%,8-9.9%,150127.82,6979133,981.95,45649,4430.53,205966,953,9
Massachusetts,711446,665088,46358,1018,10322,18012,17647,365,7,261,14.8,0.1,3-4.9%,< 3%,< 3%,345316.54,23800953,2143.56,147745,9910.1,683054,284,0
Maryland,463487,0,0,751,7666,9769,9552,217,14,161,12.4,0.2,8-9.9%,< 3%,< 3%,194777.36,11775616,1298.71,78516,6465.74,390898,104,4
Maine,69284,50683,18601,128,5154,862,831,31,1,64,9.5,0.1,3-4.9%,< 3%,< 3%,178971.84,2405761,913.62,12281,4632.08,62265,0,0
Michigan,1002488,896717,105771,780,10038,21092,19832,1260,19,211,7.8,0.2,5-7.9%,< 3%,< 3%,146500.8,14630825,738.13,73716,3928.11,392295,15,0
Minnesota,606870,0,0,1067,10761,7720,7205,515,12,136,18.9,0.2,5-7.9%,< 3%,< 3%,228095.31,12863736,1572.94,88708,6981.57,393735,386,3
Missouri,637379,0,0,11283,10385,9455,N/A,N/A,80,154,183.8,1.3,10-14.9%,8-9.9%,10-14.9%,105324.49,6464215,992.61,60921,4083.05,250594,2240,15
Northern Mariana Islands,183,183,0,0,354,2,2,0,0,3,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Mississippi,325072,198801,126271,1910,10923,7451,5135,2316,9,250,64.2,0.3,10-14.9%,5-7.9%,8-9.9%,49293.2,1467039,304.92,9075,1337.67,39811,0,0
Montana,114415,102054,12361,464,10705,1676,1676,0,8,156,43.4,0.8,10-14.9%,3-4.9%,5-7.9%,118430.39,1265758,742.44,7935,3263.45,34879,90,2
North Carolina,1019838,866268,153570,3991,9724,13503,11901,1602,48,128,38.1,0.5,8-9.9%,3-4.9%,3-4.9%,115878.96,12153483,831.29,87186,3732.84,391503,540,4
North Dakota,110926,101668,9258,147,14556,1536,N/A,N/A,8,201,19.3,1.1,5-7.9%,< 3%,< 3%,219751.54,1674643,483.82,3687,2445.6,18637,27,4
Nebraska,225600,0,0,623,11662,2267,N/A,N/A,5,117,32.2,0.3,10-14.9%,5-7.9%,5-7.9%,108358.11,2096088,385.13,7450,1761.52,34075,123,2
New Hampshire,99800,0,0,174,7340,1381,N/A,N/A,8,101,12.8,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,6
New Jersey,1026649,895855,130794,2184,11558,26516,23807,2709,39,298,24.6,0.4,5-7.9%,< 3%,< 3%,168434.18,14960644,1483.2,131741,7196,639162,363,7
New Mexico,206666,0,0,751,9856,4359,N/A,N/A,13,207,35.8,0.6,8-9.9%,< 3%,3-4.9%,147384.03,3090391,831.26,17430,4107.15,86120,115,1
Nevada,340600,0,0,4491,11058,5731,N/A,N/A,29,186,145.8,0.9,10-14.9%,10-14.9%,10-14.9%,115984.26,3572496,1053.55,32451,3809.74,117346,855,1
New York,1160203,0,0,1729,10495,19952,N/A,N/A,13,180,15.6,0.1,5-7.9%,< 3%,< 3%,248430.67,48328611,1876.99,365141,9808.9,1908181,285,5
New York City,960250,791359,168891,3349,11433,33470,28368,5102,29,398,39.9,0.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,530,9
Ohio,1114835,931299,183536,2146,9537,20411,20411,0,67,174,18.4,0.6,5-7.9%,< 3%,< 3%,114405.09,13372925,777.24,90852,3535.03,413213,344,31
Oklahoma,463152,364977,98175,3477,11705,7419,6322,1097,13,187,87.9,0.3,20-24.9%,10-14.9%,15-19.9%,61229.21,2422822,420.3,16631,1640.04,64896,1082,2
Oregon,211065,211065,0,1571,5004,2800,2800,0,18,66,37.3,0.4,5-7.9%,3-4.9%,3-4.9%,93922.88,3961420,948.97,40025,4519.06,190602,336,3
Pennsylvania,1214654,1016817,197837,1519,9488,27759,N/A,N/A,51,216,11.9,0.4,8-9.9%,< 3%,< 3%,121373.46,15538217,666.14,85279,3577.67,458013,334,9
Puerto Rico,140974,123588,17386,562,4414,2555,2197,358,3,80,17.6,0.1,5-7.9%,< 3%,3-4.9%,34986.76,1117370,495.32,15819,2590.82,82743,30,0
Palau,2,0,0,0,11,0,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Rhode Island,152842,0,0,146,14428,2731,N/A,N/A,1,257,13.8,0.1,5-7.9%,< 3%,< 3%,358305.15,3795745,2231.35,23638,10275.63,108856,23,0
Republic of Marshall Islands,4,4,0,0,7,0,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
South Carolina,600890,496202,104688,2445,11671,9871,N/A,N/A,16,191,47.5,0.3,10-14.9%,3-4.9%,5-7.9%,128302.33,6605920,740.15,38108,3462.4,178269,283,11
South Dakota,124641,0,0,15,14089,2039,1661,378,1,230,1.7,0.1,10-14.9%,5-7.9%,5-7.9%,74756.15,661337,365,3229,1646.85,14569,0,0
Tennessee,871546,716455,155091,2772,12762,12616,10166,2450,18,184,40.6,0.3,10-14.9%,3-4.9%,5-7.9%,106492.41,7272552,176.24,12036,1744.35,119125,575,8
Texas,3011214,0,0,15395,10385,51519,N/A,N/A,8,177,53.1,0,10-14.9%,5-7.9%,5-7.9%,96559.67,27998328,587.12,170242,3071.23,890530,3652,0
Utah,420685,420685,0,3426,13122,2402,2331,71,17,74,106.9,0.5,10-14.9%,5-7.9%,10-14.9%,136154.34,4365051,1017.57,32623,4541.73,145606,471,3
Virginia,683614,531519,152095,2015,8009,11467,9680,1787,31,134,23.6,0.4,10-14.9%,< 3%,3-4.9%,99105.21,8459144,652.92,55730,2981.94,254524,412,8
Virgin Islands,4071,0,0,129,3889,32,N/A,N/A,0,30,123.2,0,8-9.9%,3-4.9%,5-7.9%,71091.6,74413,1057.59,1107,4652.63,4870,28,0
Vermont,22916,0,0,68,3672,250,N/A,N/A,0,40,10.9,0,< 3%,< 3%,< 3%,292194.57,1823262,1382.4,8626,6047.54,37736,26,0
Washington,457814,0,0,4149,6012,6022,N/A,N/A,62,79,54.5,0.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1105,22
Wisconsin,679180,614057,65123,1132,11665,8189,7360,829,45,140,19.4,0.8,8-9.9%,< 3%,< 3%,169988.69,9897479,849.2,49444,4099.37,238683,236,4
West Virginia,164685,128651,36034,406,9189,2909,N/A,N/A,9,162,22.7,0.5,5-7.9%,< 3%,3-4.9%,160992.15,2885216,1040.6,18649,4185.32,75007,60,-1
Wyoming,63235,53000,10235,593,10926,760,760,0,9,131,102.5,1.6,5-7.9%,5-7.9%,5-7.9%,143021.53,827750,1006.98,5828,4281.23,24778,97,9
United States of America,33758532,15457129,2519859,168989,10168,605551,302864,35668,1449,182,50.9,0.4,8-9.9%,< 3%,3-4.9%,143238.91,475560289,1023.46,3397936,5043.11,16743388,31815,371
